Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account_or_bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,Other_debtors_or_guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,Foreign_worker,Status
no_checking_account,6,critical_account_or_other_credits_existing,radio_or_television,1740,smaller_than_100_DM,bigger_than_7_years,2,male_and_married_or_widowed,none,2,real_estate,30,none,rent,2,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,15,critical_account_or_other_credits_existing,furniture_or_equipment,975,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,2,male_divorced_or_separated,none,3,building_society_savings_agreement_or_life_insurance,25,none,own,2,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,15,existing_credits_paid_back_duly_till_now,new_car,3959,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,3,female_divorced_or_separated_or_married,none,2,building_society_savings_agreement_or_life_insurance,29,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
no_checking_account,36,delay_in_paying_off_in_the_past,radio_or_television,4454,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,female_divorced_or_separated_or_married,none,4,real_estate,34,none,own,2,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,24,all_credits_at_this_bank_paid_back_duly,furniture_or_equipment,6872,smaller_than_100_DM,smaller_than_1_year,2,male_divorced_or_separated,none,1,building_society_savings_agreement_or_life_insurance,55,bank,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
no_checking_account,30,critical_account_or_other_credits_existing,radio_or_television,5771,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,4,female_divorced_or_separated_or_married,none,2,car_or_other,25,none,own,2,skilled_employee_or_official,1,none,yes,1
no_checking_account,24,existing_credits_paid_back_duly_till_now,business,1258,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,4,male_and_single,none,1,real_estate,25,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,18,delay_in_paying_off_in_the_past,education,8471,unknown_or_no_savings_account,bigger_than_1_smaller_than_4_years,1,female_divorced_or_separated_or_married,none,2,car_or_other,23,none,rent,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,24,existing_credits_paid_back_duly_till_now,radio_or_television,5084,unknown_or_no_savings_account,bigger_than_7_years,2,female_divorced_or_separated_or_married,none,4,car_or_other,42,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,36,critical_account_or_other_credits_existing,education,8065,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,3,female_divorced_or_separated_or_married,none,2,unknown_or_no_property,25,none,own,2,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,2
smaller_than_0_DM,6,critical_account_or_other_credits_existing,new_car,609,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,4,female_divorced_or_separated_or_married,none,3,building_society_savings_agreement_or_life_insurance,37,none,own,2,skilled_employee_or_official,1,none,no,1
no_checking_account,18,existing_credits_paid_back_duly_till_now,business,1568,bigger_than_100_smaller_than_500_DM,bigger_than_1_smaller_than_4_years,3,female_divorced_or_separated_or_married,none,4,building_society_savings_agreement_or_life_insurance,24,none,rent,1,unskilled_or_resident,1,none,yes,1
smaller_than_0_DM,24,existing_credits_paid_back_duly_till_now,furniture_or_equipment,1747,smaller_than_100_DM,smaller_than_1_year,4,male_and_single,co-applicant,1,building_society_savings_agreement_or_life_insurance,24,none,own,1,unskilled_or_resident,1,none,no,1
smaller_than_0_DM,24,existing_credits_paid_back_duly_till_now,used_car,2812,unknown_or_no_savings_account,bigger_than_7_years,2,female_divorced_or_separated_or_married,none,4,real_estate,26,none,rent,1,skilled_employee_or_official,1,none,yes,1
no_checking_account,48,delay_in_paying_off_in_the_past,radio_or_television,7238,unknown_or_no_savings_account,bigger_than_7_years,3,male_and_single,none,3,car_or_other,32,bank,own,2,skilled_employee_or_official,2,none,yes,1
no_checking_account,36,existing_credits_paid_back_duly_till_now,used_car,8133,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,1,female_divorced_or_separated_or_married,none,2,building_society_savings_agreement_or_life_insurance,30,bank,own,1,skilled_employee_or_official,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,9,existing_credits_paid_back_duly_till_now,furniture_or_equipment,959,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,1,female_divorced_or_separated_or_married,none,2,car_or_other,29,none,own,1,skilled_employee_or_official,1,none,no,2
bigger_than_0_DM_but_smaller_than_200_DM,60,delay_in_paying_off_in_the_past,radio_or_television,9157,unknown_or_no_savings_account,bigger_than_1_smaller_than_4_years,2,male_and_single,none,2,unknown_or_no_property,27,none,for_free,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,12,existing_credits_paid_back_duly_till_now,new_car,2002,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,3,male_and_single,none,4,building_society_savings_agreement_or_life_insurance,30,none,rent,1,skilled_employee_or_official,2,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,6,existing_credits_paid_back_duly_till_now,radio_or_television,2647,bigger_than_500_smaller_than_1000_DM,bigger_than_1_smaller_than_4_years,2,male_and_single,none,3,real_estate,44,none,rent,1,skilled_employee_or_official,2,none,yes,1
no_checking_account,12,existing_credits_paid_back_duly_till_now,radio_or_television,707,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,male_and_single,none,2,real_estate,30,bank,own,2,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,36,existing_credits_paid_back_duly_till_now,furniture_or_equipment,5179,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,4,male_and_single,none,2,building_society_savings_agreement_or_life_insurance,29,none,own,1,skilled_employee_or_official,1,none,yes,2
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,21,critical_account_or_other_credits_existing,education,2319,smaller_than_100_DM,smaller_than_1_year,2,male_divorced_or_separated,none,1,car_or_other,33,none,rent,1,skilled_employee_or_official,1,none,yes,2
bigger_than_0_DM_but_smaller_than_200_DM,18,critical_account_or_other_credits_existing,business,3590,smaller_than_100_DM,unemployed,3,male_and_married_or_widowed,none,3,car_or_other,40,none,own,3,unemployed_or_unskilled_or_non-resident,2,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,12,critical_account_or_other_credits_existing,radio_or_television,385,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,4,female_divorced_or_separated_or_married,none,3,real_estate,58,none,own,4,unskilled_or_resident,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,18,critical_account_or_other_credits_existing,education,1864,bigger_than_100_smaller_than_500_DM,bigger_than_1_smaller_than_4_years,4,female_divorced_or_separated_or_married,none,2,real_estate,30,none,own,2,skilled_employee_or_official,1,none,yes,2
bigger_than_0_DM_but_smaller_than_200_DM,14,existing_credits_paid_back_duly_till_now,business,1410,bigger_than_500_smaller_than_1000_DM,bigger_than_7_years,1,male_and_married_or_widowed,none,2,real_estate,35,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,9,existing_credits_paid_back_duly_till_now,education,3832,unknown_or_no_savings_account,bigger_than_7_years,1,male_and_single,none,4,real_estate,64,none,own,1,unskilled_or_resident,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,12,existing_credits_paid_back_duly_till_now,radio_or_television,1092,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,female_divorced_or_separated_or_married,guarantor,4,real_estate,49,none,own,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,6,existing_credits_paid_back_duly_till_now,radio_or_television,1346,bigger_than_100_smaller_than_500_DM,bigger_than_7_years,2,male_and_single,none,4,unknown_or_no_property,42,bank,for_free,1,skilled_employee_or_official,2,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,6,critical_account_or_other_credits_existing,radio_or_television,1898,unknown_or_no_savings_account,bigger_than_1_smaller_than_4_years,1,male_and_single,none,2,real_estate,34,none,own,2,unskilled_or_resident,2,none,yes,1
no_checking_account,6,critical_account_or_other_credits_existing,new_car,2080,bigger_than_500_smaller_than_1000_DM,bigger_than_1_smaller_than_4_years,1,male_and_married_or_widowed,none,2,car_or_other,24,none,own,1,skilled_employee_or_official,1,none,yes,1
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,30,delay_in_paying_off_in_the_past,business,1908,smaller_than_100_DM,bigger_than_7_years,4,male_and_single,none,4,real_estate,66,none,own,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,2
no_checking_account,10,critical_account_or_other_credits_existing,furniture_or_equipment,2146,smaller_than_100_DM,smaller_than_1_year,1,female_divorced_or_separated_or_married,none,3,real_estate,23,none,rent,2,skilled_employee_or_official,1,none,yes,1
no_checking_account,11,critical_account_or_other_credits_existing,new_car,7228,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,1,male_and_single,none,4,building_society_savings_agreement_or_life_insurance,39,none,own,2,unskilled_or_resident,1,none,yes,1
no_checking_account,36,delay_in_paying_off_in_the_past,furniture_or_equipment,7678,bigger_than_500_smaller_than_1000_DM,bigger_than_4_smaller_than_7_years,2,female_divorced_or_separated_or_married,none,4,car_or_other,40,none,own,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,6,existing_credits_paid_back_duly_till_now,furniture_or_equipment,1766,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,1,male_and_married_or_widowed,none,2,building_society_savings_agreement_or_life_insurance,21,none,rent,1,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,18,existing_credits_paid_back_duly_till_now,furniture_or_equipment,2473,smaller_than_100_DM,unemployed,4,male_and_single,none,1,car_or_other,25,none,own,1,unemployed_or_unskilled_or_non-resident,1,none,yes,2
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,24,existing_credits_paid_back_duly_till_now,radio_or_television,5152,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,4,male_and_single,none,2,car_or_other,25,bank,own,1,skilled_employee_or_official,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,20,delay_in_paying_off_in_the_past,used_car,7057,unknown_or_no_savings_account,bigger_than_4_smaller_than_7_years,3,male_and_single,none,4,building_society_savings_agreement_or_life_insurance,36,bank,rent,2,management_or_self-employed_or_highly_qualified_employee_or_officer,2,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,36,delay_in_paying_off_in_the_past,new_car,2225,smaller_than_100_DM,bigger_than_7_years,4,male_and_single,none,4,unknown_or_no_property,57,bank,for_free,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
bigger_than_0_DM_but_smaller_than_200_DM,12,existing_credits_paid_back_duly_till_now,radio_or_television,1331,smaller_than_100_DM,smaller_than_1_year,2,male_and_single,none,1,car_or_other,22,stores,own,1,skilled_employee_or_official,1,none,yes,2
smaller_than_0_DM,6,all_credits_at_this_bank_paid_back_duly,education,1198,smaller_than_100_DM,bigger_than_7_years,4,female_divorced_or_separated_or_married,none,4,unknown_or_no_property,35,none,for_free,1,skilled_employee_or_official,1,none,yes,2
bigger_than_0_DM_but_smaller_than_200_DM,48,existing_credits_paid_back_duly_till_now,others,5381,unknown_or_no_savings_account,unemployed,3,male_and_single,none,4,unknown_or_no_property,40,bank,for_free,1,unemployed_or_unskilled_or_non-resident,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,6,existing_credits_paid_back_duly_till_now,radio_or_television,2063,smaller_than_100_DM,smaller_than_1_year,4,male_and_married_or_widowed,none,3,car_or_other,30,none,rent,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,39,delay_in_paying_off_in_the_past,education,11760,bigger_than_100_smaller_than_500_DM,bigger_than_4_smaller_than_7_years,2,male_and_single,none,3,unknown_or_no_property,32,none,rent,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,15,delay_in_paying_off_in_the_past,radio_or_television,1478,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,male_and_married_or_widowed,none,3,real_estate,33,bank,own,2,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,10,critical_account_or_other_credits_existing,new_car,1038,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,4,male_and_single,co-applicant,3,building_society_savings_agreement_or_life_insurance,49,none,own,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,12,existing_credits_paid_back_duly_till_now,radio_or_television,1567,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,1,female_divorced_or_separated_or_married,none,1,car_or_other,22,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,11,critical_account_or_other_credits_existing,radio_or_television,1154,bigger_than_100_smaller_than_500_DM,unemployed,4,female_divorced_or_separated_or_married,none,4,real_estate,57,none,own,3,unskilled_or_resident,1,none,yes,1
no_checking_account,18,existing_credits_paid_back_duly_till_now,used_car,3378,unknown_or_no_savings_account,bigger_than_1_smaller_than_4_years,2,male_and_single,none,1,building_society_savings_agreement_or_life_insurance,31,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,9,existing_credits_paid_back_duly_till_now,furniture_or_equipment,1980,smaller_than_100_DM,smaller_than_1_year,2,female_divorced_or_separated_or_married,co-applicant,2,car_or_other,19,none,rent,2,skilled_employee_or_official,1,none,yes,2
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,24,existing_credits_paid_back_duly_till_now,radio_or_television,1258,bigger_than_500_smaller_than_1000_DM,bigger_than_1_smaller_than_4_years,3,female_divorced_or_separated_or_married,none,3,car_or_other,57,none,own,1,unskilled_or_resident,1,none,yes,1
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,6,delay_in_paying_off_in_the_past,radio_or_television,683,smaller_than_100_DM,smaller_than_1_year,2,female_divorced_or_separated_or_married,none,1,building_society_savings_agreement_or_life_insurance,29,bank,own,1,skilled_employee_or_official,1,none,yes,1
no_checking_account,54,no_credits_taken_or_all_credits_paid_back_duly,used_car,9436,unknown_or_no_savings_account,bigger_than_1_smaller_than_4_years,2,male_and_single,none,2,building_society_savings_agreement_or_life_insurance,39,none,own,1,unskilled_or_resident,2,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,12,critical_account_or_other_credits_existing,new_car,1995,bigger_than_100_smaller_than_500_DM,smaller_than_1_year,4,male_and_single,none,1,car_or_other,27,none,own,1,skilled_employee_or_official,1,none,yes,1
no_checking_account,6,no_credits_taken_or_all_credits_paid_back_duly,new_car,1204,bigger_than_100_smaller_than_500_DM,bigger_than_1_smaller_than_4_years,4,male_and_single,none,1,unknown_or_no_property,35,bank,rent,1,skilled_employee_or_official,1,none,no,1
no_checking_account,36,no_credits_taken_or_all_credits_paid_back_duly,repairs,2613,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,male_and_single,none,2,car_or_other,27,none,own,2,skilled_employee_or_official,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,9,existing_credits_paid_back_duly_till_now,new_car,1549,unknown_or_no_savings_account,smaller_than_1_year,4,male_and_single,none,2,real_estate,35,none,own,1,unemployed_or_unskilled_or_non-resident,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,6,existing_credits_paid_back_duly_till_now,radio_or_television,1068,smaller_than_100_DM,bigger_than_7_years,4,male_and_single,none,4,car_or_other,28,none,own,1,skilled_employee_or_official,2,none,yes,1
smaller_than_0_DM,18,critical_account_or_other_credits_existing,radio_or_television,1880,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,4,male_and_married_or_widowed,none,1,building_society_savings_agreement_or_life_insurance,32,none,own,2,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,36,delay_in_paying_off_in_the_past,new_car,2862,bigger_than_100_smaller_than_500_DM,bigger_than_7_years,4,male_and_single,none,3,unknown_or_no_property,30,none,for_free,1,skilled_employee_or_official,1,none,yes,1
no_checking_account,12,critical_account_or_other_credits_existing,business,2292,smaller_than_100_DM,unemployed,4,male_and_single,none,2,car_or_other,42,stores,own,2,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,2
bigger_than_0_DM_but_smaller_than_200_DM,24,existing_credits_paid_back_duly_till_now,new_car,1246,smaller_than_100_DM,smaller_than_1_year,4,male_and_single,none,2,real_estate,23,stores,own,1,unskilled_or_resident,1,none,yes,2
smaller_than_0_DM,42,delay_in_paying_off_in_the_past,radio_or_television,4370,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,3,male_and_single,none,2,building_society_savings_agreement_or_life_insurance,26,bank,own,2,skilled_employee_or_official,2,"yes,_registered_under_the_customers_name",yes,2
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,24,critical_account_or_other_credits_existing,furniture_or_equipment,3617,unknown_or_no_savings_account,bigger_than_7_years,4,male_and_single,co-applicant,4,unknown_or_no_property,20,none,rent,2,skilled_employee_or_official,1,none,yes,1
no_checking_account,24,existing_credits_paid_back_duly_till_now,new_car,1469,bigger_than_100_smaller_than_500_DM,bigger_than_7_years,4,male_and_married_or_widowed,none,4,real_estate,41,none,rent,1,unskilled_or_resident,1,none,yes,1
no_checking_account,30,critical_account_or_other_credits_existing,used_car,7596,unknown_or_no_savings_account,bigger_than_7_years,1,male_and_single,none,4,car_or_other,63,none,own,2,skilled_employee_or_official,1,none,yes,1
no_checking_account,24,existing_credits_paid_back_duly_till_now,used_car,5433,unknown_or_no_savings_account,unemployed,2,female_divorced_or_separated_or_married,none,4,building_society_savings_agreement_or_life_insurance,26,none,rent,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,24,existing_credits_paid_back_duly_till_now,used_car,6313,unknown_or_no_savings_account,bigger_than_7_years,3,male_and_single,none,4,car_or_other,41,none,own,1,management_or_self-employed_or_highly_qualified_employee_or_officer,2,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,18,existing_credits_paid_back_duly_till_now,radio_or_television,1453,smaller_than_100_DM,smaller_than_1_year,3,female_divorced_or_separated_or_married,none,1,real_estate,26,none,own,1,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,24,all_credits_at_this_bank_paid_back_duly,new_car,2325,bigger_than_100_smaller_than_500_DM,bigger_than_4_smaller_than_7_years,2,male_and_single,none,3,car_or_other,32,bank,own,1,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,36,critical_account_or_other_credits_existing,furniture_or_equipment,2348,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,3,male_and_married_or_widowed,none,2,building_society_savings_agreement_or_life_insurance,46,none,own,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,36,existing_credits_paid_back_duly_till_now,furniture_or_equipment,9034,bigger_than_100_smaller_than_500_DM,smaller_than_1_year,4,male_and_single,co-applicant,1,unknown_or_no_property,29,none,rent,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,2
bigger_than_0_DM_but_smaller_than_200_DM,20,existing_credits_paid_back_duly_till_now,used_car,6468,unknown_or_no_savings_account,unemployed,1,male_divorced_or_separated,none,4,real_estate,60,none,own,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,24,existing_credits_paid_back_duly_till_now,furniture_or_equipment,4057,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,3,male_divorced_or_separated,none,3,car_or_other,43,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
bigger_than_0_DM_but_smaller_than_200_DM,9,critical_account_or_other_credits_existing,radio_or_television,1154,smaller_than_100_DM,bigger_than_7_years,2,male_and_single,none,4,real_estate,37,none,own,3,unskilled_or_resident,1,none,yes,1
smaller_than_0_DM,48,existing_credits_paid_back_duly_till_now,new_car,7763,smaller_than_100_DM,bigger_than_7_years,4,male_and_single,none,4,unknown_or_no_property,42,bank,for_free,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,none,yes,2
no_checking_account,10,existing_credits_paid_back_duly_till_now,used_car,2901,unknown_or_no_savings_account,smaller_than_1_year,1,female_divorced_or_separated_or_married,none,4,real_estate,31,none,rent,1,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,24,existing_credits_paid_back_duly_till_now,new_car,2303,smaller_than_100_DM,bigger_than_7_years,4,male_and_single,co-applicant,1,real_estate,45,none,own,1,skilled_employee_or_official,1,none,yes,2
no_checking_account,27,critical_account_or_other_credits_existing,furniture_or_equipment,4526,bigger_than_1000_DM,smaller_than_1_year,4,male_and_single,none,2,real_estate,32,stores,own,2,unskilled_or_resident,2,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,40,critical_account_or_other_credits_existing,education,5998,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,male_and_single,none,3,unknown_or_no_property,27,bank,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
no_checking_account,18,critical_account_or_other_credits_existing,new_car,1055,smaller_than_100_DM,smaller_than_1_year,4,female_divorced_or_separated_or_married,none,1,building_society_savings_agreement_or_life_insurance,30,none,own,2,skilled_employee_or_official,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,30,critical_account_or_other_credits_existing,new_car,2181,unknown_or_no_savings_account,bigger_than_7_years,4,male_and_single,none,4,real_estate,36,none,own,2,skilled_employee_or_official,1,none,yes,1
no_checking_account,24,critical_account_or_other_credits_existing,radio_or_television,2684,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,male_and_single,none,2,real_estate,35,none,own,2,unskilled_or_resident,1,none,yes,1
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,24,existing_credits_paid_back_duly_till_now,furniture_or_equipment,2892,smaller_than_100_DM,bigger_than_7_years,3,male_divorced_or_separated,none,4,unknown_or_no_property,51,none,for_free,1,skilled_employee_or_official,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,18,critical_account_or_other_credits_existing,furniture_or_equipment,1295,smaller_than_100_DM,smaller_than_1_year,4,female_divorced_or_separated_or_married,none,1,building_society_savings_agreement_or_life_insurance,27,none,own,2,skilled_employee_or_official,1,none,yes,1
