Name_of_Agency,Type_of_Travel_Insurance_Agencies,Distribution_Channel_of_Travel_Insurance_Agencies,Name_of_the_Travel_Insurance_Products,Claim_Status,Duration_of_Travel,Destination_of_Travel,Amount_of_Sales_of_Travel_Insurance_Policies,Commission_Received_for_Travel_Insurance_Agency,Age_of_Insured
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,43,"KOREA,_REPUBLIC_OF",0.0,17.82,26
C2B,Airlines,Online,Bronze_Plan,no,16,SINGAPORE,38.35,9.59,25
EPX,Travel_Agency,Online,Cancellation_Plan,no,6,SINGAPORE,26.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,19,AUSTRALIA,49.5,29.7,50
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,6,MALAYSIA,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,28,INDONESIA,10.0,0.0,30
EPX,Travel_Agency,Online,Cancellation_Plan,no,7,HONG_KONG,15.0,0.0,50
SSI,Airlines,Online,Ticket_Protector,no,731,SINGAPORE,0.32,0.09,48
EPX,Travel_Agency,Online,Cancellation_Plan,no,52,PHILIPPINES,10.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,33,CHINA,26.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,2,SINGAPORE,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,68,SINGAPORE,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,5,SINGAPORE,12.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,5,SINGAPORE,20.0,0.0,35
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,20,SINGAPORE,20.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,46,UNITED_KINGDOM,53.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,5,AUSTRALIA,29.7,17.82,35
C2B,Airlines,Online,Annual_Gold_Plan,no,364,SINGAPORE,389.35,97.34,31
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,55,THAILAND,20.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,6,SINGAPORE,25.2,6.3,54
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,73,MALAYSIA,39.0,0.0,52
C2B,Airlines,Online,Bronze_Plan,no,6,SINGAPORE,27.0,6.75,27
EPX,Travel_Agency,Online,Cancellation_Plan,no,39,SWEDEN,0.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,55,FRANCE,0.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,79,PHILIPPINES,51.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,63,PHILIPPINES,13.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,22,INDIA,35.0,12.25,54
C2B,Airlines,Online,Bronze_Plan,no,8,SINGAPORE,17.0,4.25,21
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,44,CHINA,92.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,84,FRENCH_POLYNESIA,80.0,0.0,35
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,19,CHINA,35.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,6,"TAIWAN,_PROVINCE_OF_CHINA",10.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,25,AUSTRALIA,39.6,23.76,42
JZI,Airlines,Online,Basic_Plan,no,25,THAILAND,22.0,7.7,31
JZI,Airlines,Online,Basic_Plan,no,6,HONG_KONG,26.0,9.1,39
EPX,Travel_Agency,Online,Cancellation_Plan,no,102,CHINA,22.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,101,MALAYSIA,10.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,35,THAILAND,22.0,7.7,55
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,49,VIETNAM,20.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,2,AUSTRALIA,22.0,7.7,50
EPX,Travel_Agency,Online,Cancellation_Plan,no,10,SAUDI_ARABIA,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,14,INDIA,10.0,0.0,46
JZI,Airlines,Online,Basic_Plan,no,105,VIETNAM,22.0,7.7,40
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,33,INDONESIA,29.0,0.0,32
EPX,Travel_Agency,Online,Cancellation_Plan,no,4,INDONESIA,23.0,0.0,35
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,1,THAILAND,20.0,0.0,40
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,8,AUSTRALIA,49.5,29.7,32
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,10,MALAYSIA,30.0,0.0,56
SSI,Airlines,Online,Ticket_Protector,no,22,SINGAPORE,0.77,0.22,48
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,28,THAILAND,20.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,8,MALAYSIA,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,56,JAPAN,0.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,42,TURKS_AND_CAICOS_ISLANDS,128.0,0.0,30
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,19,UNITED_STATES,79.2,47.52,36
JZI,Airlines,Online,Value_Plan,no,57,UNITED_STATES,-121.0,42.35,63
EPX,Travel_Agency,Online,Cancellation_Plan,no,6,MALAYSIA,10.0,0.0,42
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,10,AUSTRALIA,39.6,23.76,60
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,8,INDONESIA,26.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,221,AUSTRALIA,0.0,53.46,53
EPX,Travel_Agency,Online,Cancellation_Plan,no,22,JAPAN,52.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,18,SINGAPORE,11.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,132,"KOREA,_REPUBLIC_OF",0.0,0.0,36
JZI,Airlines,Online,Value_Plan,no,26,HONG_KONG,58.0,20.3,54
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,14,CHINA,52.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,24,JAPAN,76.0,0.0,36
ADM,Travel_Agency,Online,Premier_Plan,no,22,FRANCE,-86.0,32.68,22
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,MALAYSIA,11.0,0.0,35
C2B,Airlines,Online,Silver_Plan,no,21,SINGAPORE,22.5,5.63,28
JZI,Airlines,Online,Basic_Plan,no,1,MALAYSIA,18.0,6.3,57
C2B,Airlines,Online,Silver_Plan,no,9,SINGAPORE,15.0,3.75,32
JZI,Airlines,Online,Value_Plan,no,90,UNITED_STATES,96.0,33.6,32
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,2,SINGAPORE,20.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,4,THAILAND,29.7,17.82,29
JZI,Airlines,Online,Basic_Plan,no,13,THAILAND,22.0,7.7,43
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,3,MALAYSIA,20.0,0.0,36
SSI,Airlines,Online,Ticket_Protector,no,142,SINGAPORE,10.55,2.96,48
C2B,Airlines,Online,Bronze_Plan,no,17,SINGAPORE,13.5,3.38,34
EPX,Travel_Agency,Online,Cancellation_Plan,no,24,THAILAND,12.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,SINGAPORE,15.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,12,SINGAPORE,10.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,12,UNITED_STATES,34.0,0.0,61
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,HONG_KONG,10.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,28,MALAYSIA,23.0,0.0,48
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,85,PHILIPPINES,20.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,104,THAILAND,22.0,7.7,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,14,THAILAND,10.0,0.0,27
C2B,Airlines,Online,Annual_Silver_Plan,no,365,SINGAPORE,161.0,40.25,63
C2B,Airlines,Online,Annual_Silver_Plan,no,369,SINGAPORE,161.0,40.25,69
JZI,Airlines,Online,Basic_Plan,no,28,THAILAND,18.0,6.3,50
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,6,"TAIWAN,_PROVINCE_OF_CHINA",22.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,72,AUSTRALIA,0.0,47.52,43
EPX,Travel_Agency,Online,Cancellation_Plan,no,23,HONG_KONG,21.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,58,NETHERLANDS,10.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,158,AUSTRALIA,178.2,106.92,44
JZI,Airlines,Online,Basic_Plan,no,10,INDONESIA,22.0,7.7,67
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,76,MALAYSIA,39.6,23.76,44
EPX,Travel_Agency,Online,Cancellation_Plan,no,13,SINGAPORE,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,138,UNITED_STATES,74.0,0.0,22
JZI,Airlines,Online,Basic_Plan,no,75,"TAIWAN,_PROVINCE_OF_CHINA",35.0,12.25,58
EPX,Travel_Agency,Online,Cancellation_Plan,no,82,SINGAPORE,10.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,52,JAPAN,36.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,5,MACAO,22.0,7.7,34
C2B,Airlines,Online,Bronze_Plan,no,20,SINGAPORE,13.5,3.38,52
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,12,NORWAY,39.6,23.76,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,6,PHILIPPINES,20.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,1,SINGAPORE,86.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,15,MALAYSIA,20.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,12,PHILIPPINES,18.0,6.3,29
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,5,PHILIPPINES,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,5,MACAO,10.0,0.0,37
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,31,INDONESIA,27.0,0.0,35
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,4,THAILAND,20.0,0.0,26
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,4,CHINA,51.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,64,UNITED_STATES,128.0,0.0,64
EPX,Travel_Agency,Online,Cancellation_Plan,no,103,CHINA,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,26,INDIA,20.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,4,SINGAPORE,13.5,3.38,29
JWT,Airlines,Online,Value_Plan,no,62,INDIA,31.0,12.4,99
EPX,Travel_Agency,Online,Cancellation_Plan,no,69,UNITED_STATES,80.0,0.0,33
JZI,Airlines,Online,Basic_Plan,no,5,INDONESIA,22.0,7.7,17
C2B,Airlines,Online,Gold_Plan,no,8,SINGAPORE,69.0,17.25,28
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,30,SINGAPORE,29.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,4,MALAYSIA,0.0,17.82,55
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,40,UNITED_STATES,112.0,0.0,45
C2B,Airlines,Online,Silver_Plan,no,5,SINGAPORE,29.0,7.25,44
EPX,Travel_Agency,Online,Cancellation_Plan,no,28,THAILAND,14.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,72,AUSTRALIA,19.8,11.88,39
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,15,AUSTRALIA,39.6,23.76,27
EPX,Travel_Agency,Online,Cancellation_Plan,no,20,UNITED_STATES,10.0,0.0,42
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,4,CHINA,27.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,10,SINGAPORE,20.0,5.0,38
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,9,INDIA,50.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,46,UNITED_STATES,80.0,0.0,46
JZI,Airlines,Online,Basic_Plan,no,24,INDONESIA,22.0,7.7,65
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,14,PHILIPPINES,68.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,149,AUSTRALIA,59.4,35.64,40
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,12,MALAYSIA,20.0,0.0,46
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,THAILAND,23.0,0.0,37
C2B,Airlines,Online,Bronze_Plan,no,51,SINGAPORE,72.0,18.0,40
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,4,HONG_KONG,52.0,0.0,35
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,12,SINGAPORE,28.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,36,AUSTRALIA,29.7,17.82,30
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,24,HONG_KONG,28.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,30,MALAYSIA,29.7,17.82,74
RAB,Airlines,Online,Value_Plan,no,7,BRUNEI_DARUSSALAM,15.0,6.0,41
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,14,THAILAND,41.0,0.0,35
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,5,INDONESIA,28.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,80,AUSTRALIA,89.1,53.46,35
JZI,Airlines,Online,Value_Plan,no,11,"KOREA,_REPUBLIC_OF",45.0,15.75,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,21,CANADA,0.0,5.94,42
EPX,Travel_Agency,Online,Cancellation_Plan,no,118,INDIA,15.0,0.0,48
EPX,Travel_Agency,Online,Cancellation_Plan,no,54,SINGAPORE,28.0,0.0,36
SSI,Airlines,Online,Ticket_Protector,no,62,SINGAPORE,4.31,1.21,48
C2B,Airlines,Online,Bronze_Plan,no,8,SINGAPORE,13.5,3.38,23
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,16,JAPAN,84.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,2,VIETNAM,20.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,3,SINGAPORE,11.5,2.88,28
EPX,Travel_Agency,Online,Cancellation_Plan,no,35,CHINA,27.0,0.0,35
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,UNITED_STATES,43.0,0.0,46
EPX,Travel_Agency,Online,Cancellation_Plan,no,121,MYANMAR,13.0,0.0,36
KML,Travel_Agency,Online,Value_Plan,no,38,NETHERLANDS,75.0,28.5,48
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,INDONESIA,16.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,12,INDONESIA,11.0,0.0,41
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,17,THAILAND,20.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,3,MALAYSIA,19.8,11.88,37
EPX,Travel_Agency,Online,Cancellation_Plan,no,25,MALAYSIA,10.0,0.0,27
C2B,Airlines,Online,Bronze_Plan,no,5,SINGAPORE,20.25,5.06,37
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,27,UNITED_STATES,107.0,0.0,23
JZI,Airlines,Online,Basic_Plan,no,5,MALAYSIA,18.0,6.3,55
C2B,Airlines,Online,Silver_Plan,no,27,SINGAPORE,63.0,15.75,11
RAB,Airlines,Online,Value_Plan,no,6,BRUNEI_DARUSSALAM,15.0,6.0,35
EPX,Travel_Agency,Online,Cancellation_Plan,no,24,AUSTRALIA,49.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,yes,82,UNITED_KINGDOM,57.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,18,CYPRUS,112.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,19,GERMANY,69.3,41.58,29
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,43,UNITED_STATES,94.0,0.0,39
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,11,SINGAPORE,20.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,2,MALAYSIA,9.9,5.94,49
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,9,THAILAND,39.6,23.76,49
EPX,Travel_Agency,Online,Cancellation_Plan,no,56,HONG_KONG,18.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,2,RUSSIAN_FEDERATION,0.0,0.0,36
TTW,Travel_Agency,Offline,Individual_Comprehensive_Plan,yes,364,SINGAPORE,97.0,0.0,24
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,48,AUSTRALIA,69.3,41.58,30
EPX,Travel_Agency,Online,Cancellation_Plan,no,58,SINGAPORE,11.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,11,UNITED_KINGDOM,80.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,180,JAPAN,28.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,56,MYANMAR,0.0,20.3,34
EPX,Travel_Agency,Online,Cancellation_Plan,no,17,MALAYSIA,10.0,0.0,42
EPX,Travel_Agency,Online,Cancellation_Plan,no,9,CAMBODIA,39.0,0.0,35
ART,Airlines,Online,24_Protect,no,9,MYANMAR,12.0,4.2,48
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,2,CHINA,20.0,0.0,36
C2B,Airlines,Online,Silver_Plan,no,132,SINGAPORE,271.0,67.75,21
EPX,Travel_Agency,Online,Cancellation_Plan,no,118,CANADA,80.0,0.0,49
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,68,SPAIN,39.6,23.76,39
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,30,AUSTRALIA,0.0,47.52,31
C2B,Airlines,Online,Silver_Plan,no,5,SINGAPORE,18.5,4.63,69
EPX,Travel_Agency,Online,Cancellation_Plan,no,24,SINGAPORE,18.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,22,INDONESIA,59.0,0.0,35
JZI,Airlines,Online,Basic_Plan,no,17,HONG_KONG,26.0,9.1,28
C2B,Airlines,Online,Silver_Plan,no,15,SINGAPORE,47.5,11.88,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,66,JAPAN,54.0,0.0,36
C2B,Airlines,Online,Silver_Plan,no,28,SINGAPORE,27.0,6.75,57
C2B,Airlines,Online,Silver_Plan,no,9,SINGAPORE,25.0,6.25,35
C2B,Airlines,Online,Bronze_Plan,no,21,SINGAPORE,67.0,16.75,30
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,2,HONG_KONG,25.0,0.0,43
EPX,Travel_Agency,Online,Cancellation_Plan,no,45,VIETNAM,10.0,0.0,55
EPX,Travel_Agency,Offline,2_way_Comprehensive_Plan,no,10,UNITED_STATES,68.0,0.0,46
JZI,Airlines,Online,Value_Plan,no,17,PHILIPPINES,33.0,11.55,41
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,4,VIETNAM,20.0,0.0,41
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,4,MALAYSIA,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,10,SINGAPORE,10.0,0.0,45
EPX,Travel_Agency,Online,Cancellation_Plan,no,7,SINGAPORE,10.0,0.0,49
JZI,Airlines,Online,Value_Plan,no,189,AUSTRALIA,45.0,15.75,49
C2B,Airlines,Online,Bronze_Plan,no,5,SINGAPORE,13.5,3.38,33
EPX,Travel_Agency,Online,Cancellation_Plan,no,4,"TAIWAN,_PROVINCE_OF_CHINA",35.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,yes,18,SINGAPORE,21.0,5.25,38
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,72,NORWAY,89.1,53.46,29
LWC,Travel_Agency,Online,Annual_Travel_Protect_Silver,no,395,UNITED_STATES,229.8,149.37,41
EPX,Travel_Agency,Online,Cancellation_Plan,no,96,NETHERLANDS,24.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,49,THAILAND,19.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,109,NEW_ZEALAND,158.4,95.04,34
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,44,"TAIWAN,_PROVINCE_OF_CHINA",27.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,227,THAILAND,29.7,17.82,36
RAB,Airlines,Online,Value_Plan,no,32,BRUNEI_DARUSSALAM,50.0,20.0,54
C2B,Airlines,Online,Silver_Plan,no,68,SINGAPORE,24.05,6.01,47
TST,Travel_Agency,Offline,Travel_Cruise_Protect,no,64,THAILAND,30.0,10.5,66
EPX,Travel_Agency,Online,Cancellation_Plan,no,96,AUSTRALIA,80.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,13,SINGAPORE,23.5,5.88,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,13,AUSTRALIA,79.2,47.52,36
LWC,Travel_Agency,Online,Single_Trip_Travel_Protect_Gold,yes,31,FRANCE,76.5,49.73,34
