Installment,Loan_Purpose,Loan_Application_Type,Interest_Rate,Last_Payment_Amount,Loan_Amount,Revolving_Balance,Delinquency_In_2_years,Inquiries_In_6_Months,Mortgage_Accounts,Grade,Open_Accounts,Revolving_Utilization_Rate,Total_Accounts,Fico_Range_Low,Fico_Range_High,Address_State,Employment_Length,Home_Ownership,Verification_Status,Annual_Income,Loan_Status
542.74,debt_consolidation,Individual,18.06,15105.71,15000.0,17170.0,0.0,0.0,0.0,D,12.0,47.3,31.0,695.0,699.0,CA,10+_years,RENT,Source_Verified,70000.0,fullypaid
524.93,debt_consolidation,Individual,9.49,1165.53,25000.0,19424.0,0.0,1.0,2.0,B,18.0,26.8,33.0,730.0,734.0,FL,<_1_year,MORTGAGE,Verified,60000.0,fullypaid
215.83,small_business,Individual,18.24,215.54,5950.0,1782.0,0.0,0.0,0.0,D,5.0,63.6,8.0,660.0,664.0,TX,8_years,RENT,Source_Verified,42000.0,fullypaid
111.86,home_improvement,Individual,15.59,17.33,3200.0,18900.0,1.0,0.0,3.0,C,14.0,69.7,29.0,670.0,674.0,WA,10+_years,MORTGAGE,Verified,60000.0,fullypaid
682.44,debt_consolidation,Individual,12.99,14546.18,30000.0,49582.0,0.0,0.0,5.0,C,7.0,78.2,18.0,695.0,699.0,OH,10+_years,MORTGAGE,Verified,67000.0,fullypaid
206.97,moving,Individual,14.65,213.91,6000.0,9352.0,0.0,2.0,nan,C,7.0,70.3,19.0,670.0,674.0,GA,6_years,RENT,Source_Verified,68500.0,fullypaid
671.68,credit_card,Individual,6.24,671.59,22000.0,25206.0,0.0,0.0,1.0,A,13.0,70.2,17.0,680.0,684.0,NJ,10+_years,MORTGAGE,Source_Verified,116000.0,fullypaid
181.06,major_purchase,Individual,15.31,181.06,5200.0,1545.0,0.0,0.0,2.0,C,4.0,81.3,13.0,685.0,689.0,TX,9_years,MORTGAGE,Source_Verified,39000.0,chargedoff
200.7,debt_consolidation,Individual,12.49,1183.45,6000.0,11914.0,0.0,1.0,0.0,B,16.0,60.5,20.0,675.0,679.0,PA,3_years,RENT,Not_Verified,35000.0,fullypaid
336.51,debt_consolidation,Individual,11.53,1190.36,10200.0,8388.0,4.0,0.0,0.0,B,7.0,43.5,18.0,670.0,674.0,FL,1_year,RENT,Verified,40000.0,fullypaid
778.72,other,Individual,19.03,778.72,30000.0,10283.0,0.0,0.0,0.0,D,5.0,45.7,8.0,690.0,694.0,NY,1_year,RENT,Source_Verified,65000.0,chargedoff
266.01,debt_consolidation,Individual,7.91,6625.09,8500.0,14611.0,1.0,2.0,2.0,A,12.0,29.2,25.0,740.0,744.0,TX,6_years,MORTGAGE,Not_Verified,55000.0,fullypaid
593.63,credit_card,Individual,16.78,11032.03,24000.0,19340.0,0.0,0.0,0.0,C,9.0,84.1,17.0,690.0,694.0,DC,10+_years,RENT,Verified,70000.0,fullypaid
608.72,debt_consolidation,Individual,6.03,608.35,20000.0,2496.0,0.0,0.0,3.0,A,10.0,26.3,29.0,800.0,804.0,NY,5_years,MORTGAGE,Verified,230000.0,fullypaid
537.4,debt_consolidation,Individual,12.29,21554.78,24000.0,28850.0,2.0,1.0,1.0,C,12.0,73.4,22.0,670.0,674.0,MI,10+_years,MORTGAGE,Not_Verified,87000.0,fullypaid
400.31,credit_card,Joint_App,11.99,15405.87,18000.0,116.0,0.0,0.0,3.0,B,4.0,2.9,10.0,715.0,719.0,OR,<_1_year,MORTGAGE,Verified,34000.0,fullypaid
211.81,debt_consolidation,Individual,16.29,627.92,6000.0,6667.0,0.0,0.0,0.0,D,8.0,56.0,11.0,675.0,679.0,NY,3_years,RENT,Not_Verified,30000.0,fullypaid
333.03,debt_consolidation,Individual,15.05,9339.51,9600.0,8189.0,0.0,0.0,2.0,C,18.0,78.0,23.0,665.0,669.0,MN,<_1_year,MORTGAGE,Not_Verified,48000.0,fullypaid
299.45,debt_consolidation,Individual,12.12,598.9,9000.0,17277.0,0.0,0.0,4.0,B,9.0,66.7,28.0,680.0,684.0,NV,6_years,RENT,Not_Verified,95000.0,chargedoff
264.46,debt_consolidation,Individual,11.67,6359.13,8000.0,7608.0,0.0,2.0,1.0,B,17.0,31.7,30.0,685.0,689.0,OH,7_years,OWN,Not_Verified,75800.0,fullypaid
475.7,debt_consolidation,Individual,14.99,5145.53,20000.0,10248.0,0.0,0.0,3.0,C,16.0,41.3,33.0,690.0,694.0,NC,3_years,MORTGAGE,Source_Verified,80000.0,fullypaid
378.58,debt_consolidation,Individual,14.49,1215.73,11000.0,8265.0,0.0,2.0,2.0,C,10.0,26.3,25.0,705.0,709.0,TX,2_years,RENT,Source_Verified,52000.0,fullypaid
124.23,major_purchase,Individual,7.39,1330.13,4000.0,7577.0,0.0,0.0,0.0,A,9.0,30.2,18.0,715.0,719.0,CA,<_1_year,RENT,Source_Verified,82000.0,fullypaid
222.36,credit_card,Individual,10.16,230.53,6875.0,3740.0,0.0,0.0,0.0,B,8.0,30.9,28.0,690.0,694.0,TX,3_years,RENT,Source_Verified,39083.0,fullypaid
133.42,credit_card,Individual,12.29,2534.94,4000.0,313.0,1.0,1.0,3.0,C,6.0,9.5,31.0,690.0,694.0,NC,10+_years,MORTGAGE,Not_Verified,60000.0,fullypaid
33.91,other,Individual,13.44,33.75,1000.0,26661.0,0.0,0.0,1.0,C,16.0,87.1,24.0,700.0,704.0,PA,10+_years,MORTGAGE,Verified,67500.0,fullypaid
146.86,debt_consolidation,Individual,15.61,146.86,4200.0,6980.0,0.0,0.0,0.0,D,8.0,72.0,13.0,700.0,704.0,GA,2_years,MORTGAGE,Not_Verified,35000.0,chargedoff
612.06,home_improvement,Individual,18.2,151.75,24000.0,40267.0,0.0,3.0,7.0,E,25.0,69.5,47.0,680.0,684.0,NH,8_years,MORTGAGE,Verified,150000.0,fullypaid
1184.86,debt_consolidation,Individual,13.33,50.0,35000.0,43133.0,0.0,0.0,3.0,C,14.0,96.9,64.0,680.0,684.0,VA,5_years,MORTGAGE,Source_Verified,160500.0,chargedoff
771.49,other,Individual,22.74,9733.67,20000.0,41740.0,0.0,0.0,3.0,E,11.0,78.3,43.0,675.0,679.0,NY,10+_years,MORTGAGE,Source_Verified,249000.0,fullypaid
838.22,credit_card,Individual,19.72,20314.54,31825.0,62920.0,0.0,0.0,6.0,D,16.0,58.8,31.0,690.0,694.0,PA,10+_years,MORTGAGE,Verified,77520.0,fullypaid
432.73,debt_consolidation,Individual,18.25,432.73,16950.0,24397.0,1.0,0.0,2.0,E,17.0,65.9,26.0,685.0,689.0,NY,2_years,MORTGAGE,Not_Verified,58000.0,chargedoff
396.69,medical,Individual,11.67,9831.23,12000.0,11612.0,0.0,0.0,1.0,B,7.0,55.8,16.0,695.0,699.0,GA,nan,MORTGAGE,Verified,65000.0,fullypaid
220.79,debt_consolidation,Individual,11.67,20.0,10000.0,23402.0,1.0,0.0,8.0,B,11.0,61.3,31.0,660.0,664.0,VA,10+_years,MORTGAGE,Not_Verified,70000.0,chargedoff
228.73,credit_card,Individual,7.99,1118.56,7300.0,6289.0,0.0,0.0,0.0,A,13.0,45.6,18.0,760.0,764.0,CA,1_year,RENT,Source_Verified,70000.0,fullypaid
524.89,debt_consolidation,Individual,11.14,7386.19,16000.0,12802.0,0.0,1.0,1.0,B,11.0,56.9,20.0,710.0,714.0,MN,9_years,MORTGAGE,Not_Verified,64400.0,fullypaid
552.84,debt_consolidation,Individual,14.99,552.84,15950.0,21202.0,0.0,0.0,0.0,C,9.0,92.6,11.0,670.0,674.0,WA,nan,RENT,Source_Verified,40000.0,chargedoff
224.49,debt_consolidation,Individual,20.49,3517.06,6000.0,4039.0,0.0,3.0,0.0,E,8.0,53.9,22.0,665.0,669.0,FL,nan,RENT,Source_Verified,28000.0,fullypaid
481.54,credit_card,Individual,11.99,8396.92,14500.0,18163.0,0.0,0.0,4.0,B,14.0,62.2,31.0,695.0,699.0,LA,10+_years,MORTGAGE,Not_Verified,85000.0,fullypaid
452.89,debt_consolidation,Individual,17.57,15353.13,18000.0,49714.0,0.0,0.0,10.0,D,30.0,75.1,68.0,665.0,669.0,MA,3_years,MORTGAGE,Verified,128000.0,fullypaid
432.47,credit_card,Individual,14.33,10407.31,18450.0,5751.0,0.0,0.0,1.0,C,7.0,50.5,13.0,715.0,719.0,TX,4_years,RENT,Source_Verified,60000.0,fullypaid
339.79,debt_consolidation,Individual,13.59,5943.47,10000.0,12321.0,0.0,1.0,0.0,C,9.0,56.0,11.0,680.0,684.0,ME,10+_years,OWN,Source_Verified,50000.0,fullypaid
498.15,credit_card,Individual,11.99,10341.56,15000.0,11989.0,0.0,1.0,7.0,B,7.0,90.1,21.0,685.0,689.0,UT,nan,MORTGAGE,Verified,55714.0,fullypaid
544.17,debt_consolidation,Individual,18.25,544.17,15000.0,27472.0,0.0,0.0,3.0,D,27.0,68.0,33.0,695.0,699.0,CA,10+_years,MORTGAGE,Source_Verified,90000.0,chargedoff
215.55,credit_card,Individual,10.83,2104.32,6600.0,5595.0,0.0,0.0,nan,B,13.0,14.9,25.0,710.0,714.0,WV,<_1_year,MORTGAGE,Verified,72000.0,fullypaid
186.97,major_purchase,Individual,7.62,197.79,6000.0,45965.0,0.0,1.0,6.0,A,10.0,46.5,21.0,730.0,734.0,NY,6_years,MORTGAGE,Not_Verified,127000.0,fullypaid
1105.01,debt_consolidation,Individual,28.72,1105.01,35000.0,1204.0,3.0,0.0,3.0,F,14.0,75.3,32.0,680.0,684.0,SC,10+_years,MORTGAGE,Source_Verified,102356.0,chargedoff
950.42,debt_consolidation,Individual,21.18,1948.36,35000.0,47271.0,0.0,0.0,4.0,E,17.0,84.0,28.0,675.0,679.0,AZ,10+_years,MORTGAGE,Verified,87000.0,chargedoff
156.43,debt_consolidation,Individual,7.89,156.36,5000.0,8299.0,0.0,1.0,3.0,A,11.0,75.4,18.0,695.0,699.0,MO,10+_years,MORTGAGE,Not_Verified,55000.0,fullypaid
275.45,debt_consolidation,Individual,19.53,275.45,10500.0,11374.0,0.0,0.0,4.0,D,11.0,53.4,20.0,710.0,714.0,TN,10+_years,MORTGAGE,Not_Verified,42000.0,chargedoff
1042.42,home_improvement,Individual,9.8,26318.57,32400.0,8167.0,0.0,0.0,2.0,B,31.0,4.8,49.0,770.0,774.0,GA,10+_years,MORTGAGE,Not_Verified,140000.0,fullypaid
404.48,debt_consolidation,Individual,7.89,16740.91,20000.0,33474.0,0.0,0.0,4.0,A,9.0,65.3,17.0,750.0,754.0,CA,10+_years,MORTGAGE,Not_Verified,100000.0,fullypaid
338.16,debt_consolidation,Individual,12.59,338.16,15000.0,30923.0,0.0,1.0,1.0,C,20.0,55.9,36.0,715.0,719.0,NY,1_year,MORTGAGE,Not_Verified,80000.0,chargedoff
308.28,debt_consolidation,Individual,9.67,6276.0,9600.0,10339.0,0.0,1.0,0.0,B,20.0,35.3,36.0,705.0,709.0,FL,4_years,RENT,Not_Verified,60000.0,fullypaid
173.31,credit_card,Individual,14.99,534.93,5000.0,3050.0,0.0,0.0,0.0,C,3.0,95.3,4.0,700.0,704.0,NV,1_year,RENT,Source_Verified,30000.0,chargedoff
432.83,debt_consolidation,Individual,14.49,13232.64,18400.0,9523.0,0.0,0.0,0.0,C,9.0,48.8,15.0,745.0,749.0,NC,9_years,MORTGAGE,Source_Verified,62000.0,fullypaid
163.42,debt_consolidation,Individual,15.59,3904.83,4675.0,3974.0,0.0,5.0,1.0,D,16.0,17.0,36.0,685.0,689.0,TX,7_years,MORTGAGE,Verified,33000.0,fullypaid
361.38,home_improvement,Individual,5.32,14.82,12000.0,3400.0,0.0,1.0,3.0,A,9.0,9.2,27.0,740.0,744.0,MI,2_years,MORTGAGE,Verified,84000.0,fullypaid
494.47,debt_consolidation,Individual,14.33,507.22,14400.0,21690.0,0.0,1.0,3.0,C,16.0,64.2,34.0,685.0,689.0,OK,10+_years,MORTGAGE,Not_Verified,105000.0,fullypaid
268.75,credit_card,Individual,12.79,2078.6,8000.0,36484.0,0.0,1.0,1.0,C,25.0,63.0,35.0,705.0,709.0,WA,4_years,MORTGAGE,Source_Verified,82000.0,fullypaid
186.61,debt_consolidation,Individual,7.49,2165.14,6000.0,5346.0,1.0,0.0,0.0,A,13.0,26.1,30.0,700.0,704.0,CA,10+_years,RENT,Verified,79315.0,fullypaid
659.81,debt_consolidation,Individual,8.18,18607.92,21000.0,12137.0,0.0,0.0,0.0,B,10.0,46.1,26.0,715.0,719.0,FL,6_years,RENT,Source_Verified,85000.0,fullypaid
386.74,debt_consolidation,Individual,16.49,2.04,10925.0,4927.0,0.0,0.0,0.0,D,13.0,64.0,22.0,665.0,669.0,KY,6_years,MORTGAGE,Source_Verified,114000.0,fullypaid
201.56,home_improvement,Individual,12.79,201.56,6000.0,33210.0,0.0,2.0,1.0,C,20.0,24.8,28.0,670.0,674.0,PA,5_years,MORTGAGE,Not_Verified,67120.0,chargedoff
225.44,credit_card,Individual,12.59,7021.71,10000.0,6660.0,0.0,1.0,0.0,C,5.0,78.4,12.0,670.0,674.0,PA,10+_years,RENT,Not_Verified,30000.0,fullypaid
393.67,debt_consolidation,Individual,11.14,393.27,12000.0,23972.0,0.0,0.0,0.0,B,11.0,74.9,30.0,690.0,694.0,CA,<_1_year,RENT,Source_Verified,78000.0,fullypaid
384.85,debt_consolidation,Individual,9.58,10058.01,12000.0,6153.0,0.0,0.0,2.0,B,9.0,44.0,25.0,715.0,719.0,TX,10+_years,MORTGAGE,Not_Verified,85000.0,fullypaid
552.73,debt_consolidation,Individual,15.31,552.73,15875.0,19802.0,0.0,0.0,0.0,C,9.0,66.4,23.0,675.0,679.0,CA,5_years,OWN,Source_Verified,40000.0,chargedoff
38.67,debt_consolidation,Individual,22.91,311.71,1000.0,11673.0,3.0,1.0,0.0,E,18.0,39.2,38.0,670.0,674.0,KY,10+_years,OWN,Source_Verified,55000.0,fullypaid
382.5,debt_consolidation,Individual,9.16,763.0,12000.0,4908.0,0.0,0.0,0.0,B,6.0,76.7,16.0,660.0,664.0,CA,2_years,RENT,Verified,60000.0,fullypaid
332.1,debt_consolidation,Joint_App,11.99,8422.22,10000.0,4689.0,0.0,2.0,3.0,B,10.0,36.9,20.0,725.0,729.0,OH,1_year,MORTGAGE,Not_Verified,28760.0,fullypaid
459.67,debt_consolidation,Individual,6.49,4505.77,15000.0,11585.0,2.0,0.0,2.0,A,26.0,20.9,48.0,685.0,689.0,CA,8_years,RENT,Source_Verified,60000.0,fullypaid
301.15,credit_card,Individual,5.32,601.06,10000.0,23655.0,0.0,0.0,1.0,A,19.0,36.3,24.0,740.0,744.0,MN,3_years,MORTGAGE,Not_Verified,40000.0,fullypaid
65.93,credit_card,Individual,11.47,65.9,2000.0,2158.0,1.0,0.0,0.0,B,7.0,69.6,25.0,660.0,664.0,TX,10+_years,RENT,Verified,35000.0,fullypaid
306.14,debt_consolidation,Individual,14.65,1284.11,8875.0,4960.0,0.0,5.0,0.0,C,6.0,69.0,25.0,665.0,669.0,FL,3_years,RENT,Not_Verified,25400.0,fullypaid
157.59,debt_consolidation,Individual,8.39,157.3,5000.0,1486.0,0.0,0.0,0.0,A,13.0,45.0,18.0,710.0,714.0,FL,1_year,RENT,Source_Verified,50000.0,fullypaid
408.46,credit_card,Individual,8.18,3612.42,13000.0,25138.0,1.0,0.0,3.0,B,7.0,85.5,15.0,665.0,669.0,FL,<_1_year,MORTGAGE,Source_Verified,76000.0,fullypaid
974.52,credit_card,Joint_App,6.07,26459.74,32000.0,5421.0,0.0,0.0,2.0,A,14.0,5.8,36.0,840.0,844.0,MI,nan,OWN,Source_Verified,54300.0,fullypaid
141.52,debt_consolidation,Individual,8.24,1771.25,4500.0,14709.0,0.0,0.0,2.0,B,9.0,66.3,30.0,725.0,729.0,VA,8_years,MORTGAGE,Not_Verified,55000.0,fullypaid
1300.55,debt_consolidation,Individual,19.99,35100.68,35000.0,33086.0,0.0,2.0,2.0,D,38.0,42.9,54.0,700.0,704.0,MI,10+_years,MORTGAGE,Source_Verified,108000.0,fullypaid
368.33,credit_card,Individual,9.49,10170.78,11500.0,11082.0,0.0,1.0,4.0,B,17.0,33.7,34.0,720.0,724.0,WI,4_years,MORTGAGE,Not_Verified,45000.0,fullypaid
326.97,credit_card,Individual,10.91,326.97,10000.0,3610.0,0.0,0.0,0.0,B,6.0,33.4,9.0,660.0,664.0,FL,7_years,RENT,Source_Verified,46000.0,chargedoff
698.71,debt_consolidation,Individual,12.12,1396.73,21000.0,101624.0,0.0,0.0,2.0,B,14.0,88.1,43.0,705.0,709.0,IN,5_years,MORTGAGE,Source_Verified,225000.0,fullypaid
1079.42,debt_consolidation,Individual,6.92,1079.37,35000.0,34390.0,0.0,0.0,1.0,A,8.0,92.9,26.0,730.0,734.0,CA,10+_years,MORTGAGE,Verified,179000.0,fullypaid
474.49,debt_consolidation,Individual,12.69,15939.68,21000.0,24773.0,0.0,0.0,3.0,C,11.0,69.8,20.0,675.0,679.0,TX,3_years,MORTGAGE,Source_Verified,90000.0,fullypaid
268.75,debt_consolidation,Individual,12.79,268.75,8000.0,9872.0,0.0,1.0,3.0,C,8.0,50.9,27.0,680.0,684.0,OR,4_years,RENT,Not_Verified,38000.0,chargedoff
597.9,debt_consolidation,Individual,15.61,597.81,17100.0,11195.0,1.0,1.0,3.0,D,12.0,61.2,24.0,680.0,684.0,MI,10+_years,MORTGAGE,Source_Verified,62000.0,fullypaid
309.72,credit_card,Individual,9.99,309.72,9600.0,15291.0,0.0,0.0,0.0,B,13.0,70.8,33.0,665.0,669.0,WI,10+_years,RENT,Source_Verified,40000.0,fullypaid
130.0,debt_consolidation,Individual,10.49,1844.48,4000.0,3902.0,0.0,0.0,0.0,B,10.0,17.1,10.0,735.0,739.0,NC,4_years,RENT,Not_Verified,14000.0,fullypaid
279.64,debt_consolidation,Individual,15.59,3859.74,8000.0,1653.0,0.0,1.0,0.0,D,8.0,17.0,12.0,715.0,719.0,MI,4_years,RENT,Source_Verified,60000.0,fullypaid
288.3,debt_consolidation,Joint_App,16.02,11814.12,11850.0,5420.0,0.0,0.0,0.0,C,2.0,64.5,5.0,730.0,734.0,TN,5_years,MORTGAGE,Source_Verified,32000.0,fullypaid
976.61,debt_consolidation,Individual,25.81,24822.65,24300.0,19305.0,0.0,0.0,1.0,E,5.0,58.1,14.0,680.0,684.0,FL,10+_years,MORTGAGE,Verified,70000.0,fullypaid
856.78,debt_consolidation,Individual,6.39,327.07,28000.0,25354.0,0.0,0.0,1.0,A,7.0,60.8,15.0,730.0,734.0,OH,8_years,MORTGAGE,Source_Verified,250000.0,fullypaid
372.71,moving,Individual,16.99,14201.56,15000.0,6341.0,0.0,1.0,11.0,D,11.0,37.3,41.0,685.0,689.0,VA,10+_years,RENT,Source_Verified,74000.0,fullypaid
288.31,debt_consolidation,Individual,12.85,8468.69,8575.0,1290.0,0.0,0.0,0.0,B,8.0,3.2,9.0,795.0,799.0,TX,<_1_year,RENT,Source_Verified,25708.0,fullypaid
629.01,debt_consolidation,Individual,17.57,18499.04,25000.0,15335.0,0.0,0.0,2.0,D,9.0,85.2,33.0,695.0,699.0,FL,<_1_year,RENT,Source_Verified,65000.0,fullypaid
171.39,debt_consolidation,Individual,7.62,171.29,5500.0,6777.0,0.0,0.0,1.0,A,17.0,31.7,38.0,710.0,714.0,UT,6_years,MORTGAGE,Not_Verified,82000.0,fullypaid
529.88,debt_consolidation,Individual,20.0,19969.08,20000.0,560.0,0.0,1.0,4.0,D,7.0,8.9,24.0,665.0,669.0,AZ,10+_years,MORTGAGE,Source_Verified,90000.0,fullypaid
276.14,debt_consolidation,Individual,21.99,276.14,10000.0,2532.0,0.0,1.0,0.0,E,5.0,90.4,7.0,670.0,674.0,CO,3_years,MORTGAGE,Source_Verified,70000.0,chargedoff
336.9,credit_card,Individual,12.99,48.21,10000.0,3960.0,0.0,0.0,0.0,C,14.0,24.0,25.0,715.0,719.0,OH,1_year,MORTGAGE,Source_Verified,54000.0,fullypaid
788.55,debt_consolidation,Individual,24.37,18980.25,20000.0,17502.0,0.0,2.0,6.0,E,12.0,57.0,38.0,665.0,669.0,GA,4_years,OWN,Verified,100000.0,fullypaid
308.27,debt_consolidation,Individual,6.89,308.2,10000.0,11044.0,2.0,0.0,2.0,A,11.0,21.7,24.0,710.0,714.0,MA,10+_years,MORTGAGE,Not_Verified,80000.0,fullypaid
394.86,debt_consolidation,Individual,15.88,7598.47,11250.0,4534.0,0.0,1.0,0.0,C,8.0,63.0,14.0,670.0,674.0,NC,nan,MORTGAGE,Verified,37550.0,fullypaid
367.74,debt_consolidation,Individual,6.49,9311.08,12000.0,17206.0,0.0,1.0,2.0,A,12.0,36.9,19.0,705.0,709.0,KS,10+_years,OWN,Verified,35000.0,fullypaid
335.87,credit_card,Individual,12.29,46.92,15000.0,28738.0,1.0,0.0,2.0,C,16.0,58.4,21.0,670.0,674.0,WA,2_years,MORTGAGE,Not_Verified,85000.0,fullypaid
102.51,other,Individual,13.98,112.85,3000.0,0.0,0.0,1.0,nan,C,9.0,nan,9.0,715.0,719.0,PA,3_years,OWN,Source_Verified,24000.0,fullypaid
493.23,debt_consolidation,Individual,6.89,13260.89,16000.0,17180.0,0.0,0.0,6.0,A,22.0,30.8,43.0,740.0,744.0,PA,9_years,MORTGAGE,Not_Verified,78000.0,fullypaid
192.9,debt_consolidation,Individual,9.75,4857.63,6000.0,6213.0,0.0,0.0,0.0,B,14.0,80.7,17.0,705.0,709.0,NY,3_years,RENT,Source_Verified,50000.0,fullypaid
500.16,debt_consolidation,Individual,13.99,17099.34,21500.0,13476.0,0.0,0.0,4.0,C,11.0,53.9,23.0,680.0,684.0,RI,<_1_year,MORTGAGE,Source_Verified,70000.0,fullypaid
402.83,debt_consolidation,Individual,12.74,5658.18,12000.0,19974.0,0.0,2.0,0.0,C,18.0,60.0,32.0,685.0,689.0,OH,1_year,RENT,Not_Verified,90000.0,fullypaid
495.74,medical,Individual,14.65,495.74,21000.0,15833.0,0.0,0.0,3.0,C,4.0,40.6,12.0,765.0,769.0,CA,<_1_year,MORTGAGE,Not_Verified,90000.0,chargedoff
527.1,debt_consolidation,Individual,11.44,118.87,24000.0,5616.0,0.0,0.0,0.0,B,10.0,27.7,21.0,755.0,759.0,CA,8_years,MORTGAGE,Source_Verified,162985.0,fullypaid
476.34,debt_consolidation,Individual,6.68,1875.11,15500.0,1673.0,0.0,0.0,0.0,A,13.0,10.1,41.0,755.0,759.0,IL,2_years,RENT,Source_Verified,62000.0,fullypaid
358.82,debt_consolidation,Individual,13.99,1684.29,10500.0,6163.0,0.0,1.0,0.0,C,8.0,36.7,10.0,685.0,689.0,MD,8_years,RENT,Verified,68000.0,fullypaid
260.48,debt_consolidation,Individual,6.49,6795.84,8500.0,13374.0,0.0,0.0,3.0,A,12.0,27.6,18.0,790.0,794.0,OK,9_years,MORTGAGE,Not_Verified,108000.0,fullypaid
314.23,debt_consolidation,Individual,21.48,3686.79,11500.0,3779.0,0.0,2.0,3.0,E,15.0,36.0,42.0,660.0,664.0,SC,10+_years,OWN,Verified,52000.0,fullypaid
359.38,debt_consolidation,Individual,17.57,187.63,10000.0,10131.0,1.0,4.0,5.0,D,16.0,38.4,57.0,660.0,664.0,CA,10+_years,RENT,Verified,107000.0,fullypaid
540.5,credit_card,Individual,13.18,2650.08,16000.0,10952.0,1.0,0.0,1.0,C,11.0,51.2,17.0,685.0,689.0,MN,2_years,MORTGAGE,Verified,40000.0,fullypaid
382.55,medical,Individual,9.17,7827.5,12000.0,12418.0,0.0,0.0,1.0,B,8.0,66.4,17.0,695.0,699.0,MA,8_years,MORTGAGE,Source_Verified,92000.0,fullypaid
352.15,debt_consolidation,Individual,24.99,12111.99,12000.0,15940.0,0.0,2.0,0.0,F,24.0,51.1,39.0,665.0,669.0,MI,5_years,OWN,Verified,63000.0,fullypaid
199.63,car,Individual,12.12,1175.66,6000.0,3909.0,6.0,1.0,4.0,B,14.0,59.2,37.0,695.0,699.0,OK,10+_years,MORTGAGE,Verified,62000.0,fullypaid
